Year,Month,City,AQI,Car,Bike,TotalGarbageT,GeneralGarbageT,HugeGarbageT,RecycleGarbageT,KitchenWasteT,WastePerPersonKG,PenaltyConstruction,PenaltyPollution,PenaltyMobilePollution,ExamConstruction,ExamPollution,ExamMobliePollution
94,2M,屏東縣,orange,239848,618133,12836,5764,162,4629,2281,0.995,1,9,15,3,97,2144
94,3M,屏東縣,orange,241107,620397,13244,6152,171,4608,2313,0.927,1,2,23,1,142,2213
94,4M,屏東縣,orange,241959,621800,12844,5813,144,4599,2288,0.929,4,2,52,5,133,1545
94,5M,屏東縣,yellow,242866,623625,13584,6372,129,4752,2330,0.951,0,0,61,21,218,1739
94,6M,屏東縣,yellow,244001,625541,14023,6607,150,4950,2316,1.014,1,7,99,17,180,2347
94,7M,屏東縣,yellow,245487,627613,14023,6549,219,4932,2323,0.98,1,3,109,16,245,2237
94,8M,屏東縣,yellow,246012,629586,13306,6278,199,4514,2315,0.931,0,1,103,18,228,1696
94,9M,屏東縣,orange,247302,632551,12746,5755,184,4508,2299,0.921,1,2,113,17,219,1985
94,10M,苗栗縣,yellow,184448,313894,14236,6018,376,5319,2523,0.997,2,3,165,12,237,1612
94,11M,苗栗縣,orange,185038,314223,13967,5607,379,5447,2535,1.011,0,1,246,8,184,1688
94,12M,苗栗縣,yellow,186059,314258,13862,5530,388,5379,2565,0.971,0,0,1,9,256,1826
94,1M,苗栗縣,yellow,179201,305926,13824,6273,273,4924,2353,0.966,0,7,83,1,150,2147
94,2M,苗栗縣,green,179612,306463,14680,6889,363,5122,2306,1.135,5,4,15,5,164,1819
94,3M,苗栗縣,yellow,180213,307262,13032,5757,217,4750,2308,0.91,0,5,37,5,216,2175
94,4M,苗栗縣,yellow,180886,307561,13215,5880,275,4788,2273,0.954,0,4,88,10,193,1696
94,5M,苗栗縣,green,181476,308190,13960,6252,256,5087,2365,0.976,0,2,80,12,282,1810
94,6M,苗栗縣,green,182330,309323,14222,6183,221,5393,2425,1.028,4,5,76,6,219,1967
94,7M,苗栗縣,yellow,183065,310271,14500,6359,226,5477,2438,1.015,4,3,70,5,335,1930
94,8M,苗栗縣,yellow,183317,311189,14430,6275,194,5481,2481,1.01,1,2,74,13,344,1644
94,9M,苗栗縣,orange,184079,313218,13900,5767,338,5299,2497,1.006,1,6,83,15,307,2245
94,10M,桃園市,yellow,595310,921703,13983,5464,363,5543,2612,0.982,3,3,118,14,248,1899
94,11M,桃園市,orange,597061,923903,13583,5192,350,5468,2574,0.986,0,2,187,12,207,1444
94,12M,桃園市,yellow,600886,926342,13469,5122,329,5460,2558,0.946,0,0,5,6,152,1429
94,1M,桃園市,yellow,575600,887787,14999,6406,395,5618,2580,1.051,1,12,41,3,134,52
94,2M,桃園市,green,577306,890189,13692,5458,322,5387,2525,1.062,0,7,2,5,130,1564
94,3M,桃園市,yellow,579526,893069,14890,5227,431,6670,2562,1.044,2,2,42,14,169,2281
94,4M,桃園市,yellow,581999,895393,13283,5100,311,5299,2573,0.963,1,7,47,11,230,1985
94,5M,桃園市,yellow,584676,898231,14392,5957,273,5570,2592,1.01,0,4,133,5,296,2470
94,6M,桃園市,yellow,586619,902303,14459,5965,239,5658,2598,1.049,1,5,79,1,234,1847
94,7M,桃園市,yellow,590747,906586,14802,6142,286,5786,2588,1.039,0,2,66,2,339,1973
94,8M,桃園市,yellow,591495,910875,14424,5888,290,5668,2579,1.013,0,4,61,6,331,1820
94,9M,桃園市,yellow,593756,917983,14197,5701,324,5573,2599,1.03,0,4,75,22,287,1698
94,10M,高雄市,orange,360596,906421,13372,5069,315,5401,2588,0.941,2,7,73,7,381,1715
94,11M,高雄市,red,361895,908912,13300,5118,270,5324,2588,0.967,0,7,42,6,331,1911
94,12M,高雄市,red,363001,910680,13229,5070,272,5287,2600,0.931,0,5,1,2,269,1578
94,1M,高雄市,orange,349633,879254,15993,6781,448,6120,2644,1.124,10,9,24,13,151,1922
94,2M,高雄市,orange,350370,881621,12829,4823,280,5220,2506,0.964,6,12,4,18,152,1706
94,3M,高雄市,orange,351413,884662,13491,5239,330,5382,2539,0.949,7,8,60,12,189,2468
94,4M,高雄市,orange,352769,886560,13843,5349,417,5508,2569,1.006,3,6,44,14,220,2150
94,5M,高雄市,yellow,354171,889340,13895,5444,328,5536,2587,0.978,1,7,102,16,183,2215
94,6M,高雄市,yellow,355763,892607,13986,5444,309,5624,2608,1.017,1,7,58,10,177,1495
94,7M,高雄市,yellow,357664,895995,13999,5363,310,5718,2609,0.985,2,7,76,2,336,1853
94,8M,高雄市,yellow,358117,898794,14365,5500,503,5739,2622,1.011,1,7,83,3,303,2246
94,9M,高雄市,orange,359642,903988,13285,4975,300,5450,2560,0.966,2,12,71,8,352,1805
94,10M,基隆市,yellow,88519,176396,13494,4877,304,5660,2653,0.949,1,7,85,3,216,3120
94,11M,基隆市,yellow,88732,176626,13187,4693,299,5581,2614,0.959,3,2,97,7,209,2771
94,12M,基隆市,yellow,88874,176375,13697,5075,308,5683,2631,0.964,0,0,8,8,196,1977
94,1M,基隆市,yellow,85643,171276,14184,5556,327,5693,2608,0.998,3,17,30,11,205,22
94,2M,基隆市,yellow,85831,171562,14393,5768,363,5652,2610,1.121,2,11,3,5,150,22
94,3M,基隆市,yellow,86378,172000,13304,5140,299,5288,2578,0.936,1,13,14,4,190,195
94,4M,基隆市,yellow,86689,172433,13384,5218,323,5285,2558,0.973,2,6,17,3,162,2322
94,5M,基隆市,yellow,86991,172636,13953,5564,263,5514,2611,0.982,1,3,53,5,189,2675
94,6M,基隆市,yellow,87408,173113,13906,5510,250,5508,2637,1.011,0,3,47,2,249,1519
94,7M,基隆市,yellow,88003,173561,15253,5887,1104,5572,2690,1.073,3,3,56,0,320,1836
94,8M,基隆市,yellow,88273,174336,14228,5519,451,5606,2652,1.001,2,9,120,8,357,1922
94,9M,基隆市,yellow,88398,175541,13620,5163,254,5585,2618,0.99,2,9,51,6,197,2020
94,10M,連江縣,yellow,0,0,13569,5248,230,5544,2548,0.954,0,2,54,13,337,2158
94,11M,連江縣,orange,0,0,13168,5045,224,5360,2539,0.957,2,12,22,13,234,1899
94,12M,連江縣,orange,0,0,12956,4733,240,5424,2558,0.911,1,5,23,15,232,1384
94,1M,連江縣,orange,0,0,14714,6013,368,5727,2605,1.035,0,12,33,7,297,0
94,2M,連江縣,yellow,0,0,12805,4684,227,5343,2552,0.998,0,15,8,8,120,0
94,3M,連江縣,orange,0,0,12984,4840,263,5402,2479,0.914,0,4,10,14,162,787
94,4M,連江縣,orange,0,0,12834,4783,223,5311,2516,0.933,4,9,15,15,189,1904
94,5M,連江縣,yellow,0,0,13681,5371,306,5415,2588,0.962,6,11,9,23,159,2227
94,6M,連江縣,green,0,0,13877,5699,213,5476,2489,1.009,9,5,52,22,210,2107
94,7M,連江縣,green,0,0,14072,5683,241,5582,2565,0.989,2,8,32,15,318,2135
94,8M,連江縣,yellow,0,0,13762,5473,241,5525,2524,0.968,1,1,40,10,354,1913
94,9M,連江縣,yellow,0,0,13768,5207,254,5565,2742,1,3,11,38,19,264,2198
94,10M,雲林縣,orange,220950,445882,15021,5469,889,5993,2670,1.058,2,7,45,13,290,2350
94,11M,雲林縣,orange,221685,446666,13979,5168,303,5769,2738,1.017,0,2,38,16,159,1436
94,12M,雲林縣,orange,222514,447250,14040,5201,331,5769,2740,0.989,0,1,2,12,145,1406
94,1M,雲林縣,orange,213035,435632,13649,5238,265,5623,2522,0.96,5,20,43,15,185,0
94,2M,雲林縣,orange,213594,436541,14712,5908,411,5911,2482,1.146,3,4,2,13,127,2
94,3M,雲林縣,orange,214565,437246,13819,5274,233,5705,2607,0.972,1,7,9,15,138,0
94,4M,雲林縣,orange,215417,437762,13313,4953,239,5561,2560,0.968,3,5,5,12,170,1486
94,5M,雲林縣,yellow,216297,438666,14004,5497,252,5668,2587,0.986,0,1,47,14,187,2310
94,6M,雲林縣,yellow,217515,439634,14323,5604,229,5878,2611,1.042,2,6,58,17,202,2431
94,7M,雲林縣,yellow,218711,441141,14629,5842,232,5930,2625,1.03,6,3,45,19,335,2342
94,8M,雲林縣,yellow,219550,442231,16082,5051,1921,6453,2658,1.132,2,3,42,15,264,1877
94,9M,雲林縣,orange,220168,444552,13821,4746,641,5796,2638,1.005,0,7,37,12,279,2335
94,10M,新北市,yellow,889778,2029252,14521,6819,354,6782,566,1.024,4,2,61,27,242,1963
94,11M,新北市,orange,890166,2034410,12473,5581,297,6036,559,0.909,0,2,44,28,244,1987
94,12M,新北市,yellow,892700,2035899,14147,5702,322,7522,601,0.997,0,1,1,27,173,2049
94,1M,新北市,yellow,867514,1983249,15732,6568,389,6165,2610,1.108,4,9,14,13,195,1
94,2M,新北市,yellow,869122,1987601,15692,6768,419,6047,2458,1.181,1,8,5,11,123,0
94,3M,新北市,yellow,871868,1992954,14720,5835,340,6068,2477,1.037,0,12,8,18,187,2
94,4M,新北市,yellow,873298,1994762,13162,5728,335,5487,1612,0.958,4,12,6,24,201,2252
94,5M,新北市,yellow,877812,1997859,13747,6891,316,5755,786,0.969,6,9,20,28,231,2653
94,6M,新北市,yellow,881324,2001970,12965,6310,357,5624,674,0.944,7,10,32,26,210,2413
94,7M,新北市,yellow,886169,2008491,13565,6534,370,6021,641,0.956,3,6,22,13,233,2487
94,8M,新北市,yellow,886432,2013956,12941,6122,335,5877,607,0.912,5,8,46,27,227,2269
94,9M,新北市,yellow,889481,2023496,11859,4938,273,6075,573,0.864,0,9,16,22,147,1909
94,10M,新竹市,yellow,125499,229350,13998,5823,284,7045,845,0.988,2,3,32,26,176,1846
94,11M,新竹市,orange,125841,229696,12642,5095,337,6348,863,0.923,1,6,30,22,176,2154
94,12M,新竹市,orange,126443,230144,12726,5312,294,6397,723,0.899,0,1,0,28,172,1663
94,1M,新竹市,green,122681,223411,15305,6818,448,7455,583,1.079,7,16,10,10,154,1373
94,2M,新竹市,green,122540,223773,14430,6439,251,7143,597,1.127,3,9,4,23,127,1166
94,3M,新竹市,yellow,122472,224383,13637,5918,265,6996,458,0.962,4,12,6,34,142,1993
94,4M,新竹市,yellow,122999,224702,13220,5710,239,6709,563,0.964,5,9,5,37,195,1766
94,5M,新竹市,green,123448,225222,13993,5984,291,7113,605,0.987,0,10,18,64,156,2092
94,6M,新竹市,green,123891,225954,14439,6092,340,7358,648,1.053,3,6,36,31,156,1963
94,7M,新竹市,yellow,124588,226544,14745,6318,406,7556,466,1.041,1,4,28,13,246,1983
94,8M,新竹市,yellow,124833,227376,13787,5882,377,6936,592,0.973,7,5,50,32,211,2126
94,9M,新竹市,yellow,125293,228704,12926,5061,326,6712,827,0.943,3,12,31,22,236,1968
94,10M,新竹縣,yellow,162592,230843,14247,7231,2852,3158,1007,1.325,1,0,11,3,35,3689
94,11M,新竹縣,orange,163155,231341,11995,6742,1267,3025,962,1.155,1,0,23,2,24,3057
94,12M,新竹縣,yellow,164284,231817,11367,6457,905,3005,1000,1.06,0,4,25,3,53,1322
94,1M,新竹縣,green,157347,223289,10532,7026,258,2584,664,0.975,3,1,21,26,17,2235
94,2M,新竹縣,green,157642,223585,11063,6947,367,2608,1142,1.135,0,0,7,2,27,1301
94,3M,新竹縣,yellow,158315,224282,10499,6471,257,2683,1088,0.973,0,2,2,10,44,2230
94,4M,新竹縣,yellow,158905,224714,10736,6607,304,2708,1117,1.029,3,1,17,13,29,1436
94,5M,新竹縣,green,159594,225423,11422,6951,339,2941,1191,1.06,4,2,14,26,28,4586
94,6M,新竹縣,green,160370,226473,11646,7147,283,3075,1140,1.117,1,0,1,7,29,842
94,7M,新竹縣,yellow,161404,227396,18075,7471,6139,3389,1077,1.679,1,2,31,11,30,3678
94,8M,新竹縣,yellow,161853,228276,14007,7296,2521,3132,1057,1.301,4,2,22,8,44,4814
94,9M,新竹縣,yellow,162487,230154,12938,6913,1985,3051,989,1.243,5,1,34,7,37,1707
94,10M,嘉義市,orange,81969,182218,9765,5029,174,3368,1193,0.914,0,4,77,19,42,3463
94,11M,嘉義市,red,82083,182269,9570,4793,212,3371,1193,0.928,0,8,55,33,34,3290
94,12M,嘉義市,red,82404,182422,8010,3930,135,3019,926,0.752,0,7,54,8,24,3578
94,1M,嘉義市,red,79375,178011,11425,6739,504,3168,1014,1.064,2,0,3,4,18,54
94,2M,嘉義市,red,79547,178311,11580,7086,190,3231,1074,1.193,3,0,5,3,25,752
94,3M,嘉義市,red,79842,178714,10868,6216,188,3256,1209,1.012,0,0,8,9,46,3223
94,4M,嘉義市,red,80154,178903,10202,5638,225,2999,1339,0.981,2,2,9,13,63,1947
94,5M,嘉義市,yellow,80400,179113,11027,6210,217,3188,1412,1.027,2,1,7,3,39,2347
94,6M,嘉義市,yellow,80840,179736,11013,6158,202,3336,1317,1.061,1,3,16,13,41,2761
94,7M,嘉義市,yellow,81505,180254,11481,6395,220,3546,1321,1.074,0,4,8,1,73,2020
94,8M,嘉義市,yellow,81569,180805,11012,5831,193,3572,1415,1.033,0,1,58,36,92,2506
94,9M,嘉義市,orange,81885,181731,10426,5521,215,3475,1215,1.008,3,14,88,26,52,3550
94,10M,嘉義縣,orange,167702,335499,9640,5029,311,0,1077,0.905,0,5,54,21,46,2879
94,11M,嘉義縣,orange,168265,335800,8656,4385,141,0,1057,0.84,0,15,83,2,19,4082
94,12M,嘉義縣,orange,168971,335874,8787,4302,130,0,1148,0.825,1,10,63,7,31,3649
94,1M,嘉義縣,yellow,163100,328473,8523,4407,103,2995,1018,0.801,2,1,0,8,35,2831
94,2M,嘉義縣,yellow,163227,329131,9115,5174,136,2979,826,0.949,1,1,76,8,25,2492
94,3M,嘉義縣,red,163782,329691,8948,4722,125,3024,1077,0.841,2,3,11,2,21,3288
94,4M,嘉義縣,orange,164378,330205,8670,4474,100,3044,1052,0.842,0,1,107,9,40,4199
94,5M,嘉義縣,yellow,164838,330756,8870,4486,132,3076,1176,0.834,0,6,67,4,29,4320
94,6M,嘉義縣,yellow,165433,331492,9089,4640,124,3165,1160,0.883,0,2,38,11,19,4952
94,7M,嘉義縣,yellow,166301,332590,9569,4896,132,0,1197,0.9,0,0,58,16,50,4702
94,8M,嘉義縣,yellow,166697,333125,11107,5717,654,0,1221,1.044,0,9,35,12,26,4002
94,9M,嘉義縣,orange,167362,334691,9020,4682,101,0,1065,0.875,1,3,1,12,32,4076
94,10M,彰化縣,yellow,415210,825894,9342,4650,197,3580,915,0.882,2,10,97,7,45,4825
94,11M,彰化縣,orange,416027,827245,7771,4009,109,2879,774,0.758,4,19,30,8,44,4403
94,12M,彰化縣,orange,416921,828130,8157,4282,113,2899,863,0.77,1,1,19,30,40,2981
94,1M,彰化縣,yellow,402244,810486,9642,4941,139,3354,1209,0.906,1,10,76,9,35,1717
94,2M,彰化縣,green,403132,811433,9885,5229,142,3464,1050,0.993,0,2,42,8,36,2385
94,3M,彰化縣,yellow,404518,812732,8790,4518,89,3208,976,0.826,0,2,64,3,53,3956
94,4M,彰化縣,yellow,406071,813583,8815,4564,147,3209,896,0.857,0,1,111,11,103,4399
94,5M,彰化縣,yellow,407555,814954,9229,4734,181,3341,972,0.868,1,3,68,22,80,4181
94,6M,彰化縣,yellow,409250,816699,9851,4917,120,3773,1041,0.958,0,2,0,6,70,3704
94,7M,彰化縣,yellow,411914,818555,9859,5017,267,3444,1130,0.929,0,44,8,6,46,3904
94,8M,彰化縣,yellow,412364,820752,9238,4644,161,3450,982,0.871,0,72,0,16,39,3044
94,9M,彰化縣,orange,413902,823888,9378,4743,167,3466,1001,0.914,1,15,26,12,47,3172
94,10M,臺中市,yellow,868591,1459166,8866,4449,92,3438,887,0.839,0,0,10,11,61,3187
