AQI,City,YMD,Station,SO2,CO,O3,PM10,PM25,NO2
55.2,苗栗縣,5-Jan,三義,3.714285714,5.227272727,22.03703704,55.2,0,10.79245283
61.5,彰化縣,5-Jan,彰化,7.857142857,8.181818182,15.18518519,61.5,0,24.96226415
53.8,彰化縣,5-Jan,線西,8,6.363636364,21.11111111,53.8,0,20.13207547
59.4,彰化縣,5-Jan,二林,5.571428571,5.340909091,24.16666667,59.4,0,12.82075472
67.1,南投縣,5-Jan,竹山,5,6.931818182,18.14814815,67.1,0,22.76415094
102.2962963,南投縣,5-Jan,埔里,2.857142857,9.204545455,20.37037037,60.1,102.2962963,22.18867925
123.037037,南投縣,5-Jan,南投,6.714285714,10.11363636,14.81481481,61.5,123.037037,29.80188679
51,雲林縣,5-Jan,臺西,6,5.113636364,32.22222222,51,0,9.075471698
128.2222222,雲林縣,5-Jan,崙背,4.857142857,5.681818182,22.12962963,66.4,128.2222222,12.40566038
136,雲林縣,5-Jan,斗六,6,6.25,16.2962963,69.2,136,21.06603774
69.2,嘉義縣,5-Jan,新港,5.571428571,6.704545455,22.5,69.2,0,16.24528302
69.2,嘉義縣,5-Jan,朴子,5.571428571,5.795454545,27.68518519,69.2,0,15.11320755
158.4087591,屏東縣,5-Jan,潮州,9.714285714,7.045454545,24.16666667,90.2,158.4087591,19.62264151
34.25925926,屏東縣,5-Jan,恆春,4.571428571,2.613636364,34.25925926,25.92592593,0,5.547169811
159.4306569,屏東縣,5-Jan,屏東,7.571428571,9.545454545,21.94444444,79.7,159.4306569,18.64150943
54.69346734,臺東縣,5-Jan,臺東,4.714285714,6.136363636,24.90740741,28.7037037,54.69346734,8.990566038
71.92964824,花蓮縣,5-Jan,花蓮,3.857142857,8.977272727,17.22222222,36.11111111,71.92964824,19.0754717
86.70351759,澎湖縣,5-Jan,馬公,8.714285714,4.772727273,34.72222222,45.37037037,86.70351759,7.037735849
143.7777778,金門縣,5-Jan,金門,16.14285714,8.409090909,36.11111111,76.2,143.7777778,15.58490566
120.4444444,連江縣,5-Jan,馬祖,10,5.454545455,33.88888889,60.1,120.4444444,7.783018868
42.59259259,臺北市,5-Feb,萬華,6.857142857,12.27272727,17.12962963,42.59259259,0,29.63207547
76.85427136,臺北市,5-Feb,古亭,7.142857143,11.13636364,15.74074074,0,76.85427136,30.56603774
42.12962963,臺北市,5-Feb,陽明,3.142857143,3.863636364,42.12962963,16.66666667,0,3.254716981
43.51851852,臺北市,5-Feb,大同,8,15.34090909,12.22222222,43.51851852,0,37.33962264
41.66666667,臺北市,5-Feb,士林,3.142857143,7.272727273,20.27777778,41.66666667,0,21.09433962
76.85427136,臺北市,5-Feb,中山,7.857142857,14.20454545,11.2962963,46.2962963,76.85427136,34.37735849
47.22222222,臺北市,5-Feb,松山,7.142857143,10.68181818,18.61111111,47.22222222,0,27.47169811
123.037037,新北市,5-Feb,三重,9.714285714,27.72727273,7.685185185,62.9,123.037037,32.24528302
89.16582915,新北市,5-Feb,新莊,10.57142857,10.45454545,17.5,51,89.16582915,26
40.74074074,新北市,5-Feb,新店,7.142857143,9.204545455,20.27777778,40.74074074,0,22.18867925
49.07407407,新北市,5-Feb,菜寮,7.428571429,14.20454545,15.18518519,49.07407407,0,31.00943396
104.8888889,新北市,5-Feb,永和,8.571428571,17.15909091,14.81481481,49.07407407,104.8888889,30.96226415
36.11111111,新北市,5-Feb,淡水,3.142857143,6.704545455,23.24074074,36.11111111,0,15.72641509
59.61809045,新北市,5-Feb,萬里,3.714285714,4.772727273,34.81481481,31.48148148,59.61809045,7.490566038
32.40740741,新北市,5-Feb,林口,6,5.227272727,22.31481481,32.40740741,0,18.1509434
49.07407407,新北市,5-Feb,土城,7.142857143,10.56818182,18.7962963,49.07407407,0,26.41509434
41.66666667,新北市,5-Feb,汐止,8,8.863636364,18.05555556,41.66666667,0,22.93396226
53.1,新北市,5-Feb,板橋,9,12.27272727,17.03703704,53.1,0,27.55660377
136,臺中市,5-Feb,大里,7.428571429,9.772727273,10.09259259,65.7,136,27.95283019
91.6281407,臺中市,5-Feb,沙鹿,4.571428571,6.590909091,24.16666667,45.37037037,91.6281407,17.17924528
123.037037,臺中市,5-Feb,忠明,3.714285714,11.47727273,13.24074074,52.4,123.037037,23.67924528
56.6,臺中市,5-Feb,西屯,4,8.409090909,19.16666667,56.6,0,20.55660377
42.59259259,臺中市,5-Feb,豐原,6.142857143,10.90909091,14.72222222,42.59259259,0,22.53773585
72.7,臺南市,5-Feb,善化,8.428571429,3.75,24.53703704,72.7,0,23.68867925
143.7777778,臺南市,5-Feb,臺南,14.71428571,7.5,16.48148148,69.9,143.7777778,20.27358491
151.2554745,臺南市,5-Feb,安南,9.714285714,6.136363636,19.44444444,67.1,151.2554745,18.38679245
141.1851852,臺南市,5-Feb,新營,4.714285714,7.386363636,19.81481481,74.1,141.1851852,20.3490566
160.9635036,高雄市,5-Feb,復興,20.71428571,16.47727273,14.16666667,81.1,160.9635036,31.67924528
157.3868613,高雄市,5-Feb,鳳山,23.42857143,11.25,15.92592593,90.2,157.3868613,31.03773585
157.8978102,高雄市,5-Feb,小港,25.71428571,11.25,16.11111111,81.8,157.8978102,36.66037736
153.810219,高雄市,5-Feb,楠梓,10.57142857,8.75,19.44444444,76.9,153.810219,20.58490566
159.9416058,高雄市,5-Feb,大寮,19.28571429,8.295454545,19.25925926,83.2,159.9416058,26.9245283
156.8759124,高雄市,5-Feb,林園,26.14285714,8.068181818,26.66666667,76.9,156.8759124,23.8490566
156.8759124,高雄市,5-Feb,仁武,27,8.75,14.72222222,87.4,156.8759124,28.86792453
153.810219,高雄市,5-Feb,橋頭,10.42857143,8.068181818,20.64814815,78.3,153.810219,35.26415094
59.4,高雄市,5-Feb,美濃,5.142857143,6.363636364,20.74074074,59.4,0,13.6509434
81.8,高雄市,5-Feb,左營,12.14285714,7.045454545,19.25925926,81.8,0,30.41509434
158.4087591,高雄市,5-Feb,前鎮,15.71428571,10.22727273,17.31481481,88.1,158.4087591,34.25471698
160.4525547,高雄市,5-Feb,前金,15.85714286,10.79545455,21.11111111,81.1,160.4525547,24.16037736
69.46733668,基隆市,5-Feb,基隆,9,8.863636364,20.74074074,46.2962963,69.46733668,24.68867925
41.66666667,新竹市,5-Feb,新竹,4.714285714,8.636363636,14.90740741,41.66666667,0,21.12264151
152.7883212,嘉義市,5-Feb,嘉義,5.714285714,10.22727273,15.55555556,74.1,152.7883212,29.09433962
27.77777778,宜蘭縣,5-Feb,冬山,4,6.931818182,22.59259259,27.77777778,0,12.6509434
59.61809045,宜蘭縣,5-Feb,宜蘭,3.714285714,7.613636364,22.59259259,25,59.61809045,12.61320755
53.1,桃園市,5-Feb,中壢,7.285714286,13.40909091,15.83333333,53.1,0,28.50943396
37.03703704,桃園市,5-Feb,龍潭,6,8.295454545,17.03703704,37.03703704,0,20.00943396
39.81481481,桃園市,5-Feb,觀音,9,4.659090909,25.46296296,39.81481481,0,13.72641509
45.37037037,桃園市,5-Feb,平鎮,8.285714286,7.840909091,19.53703704,45.37037037,0,23.13207547
53.1,桃園市,5-Feb,桃園,10.71428571,9.545454545,19.90740741,53.1,0,23.33018868
44.44444444,桃園市,5-Feb,大園,5.857142857,5.681818182,22.59259259,44.44444444,0,16.45283019
